DATE,CSUSHPISA
01-07-2002,122.888
01-08-2002,123.831
01-09-2002,124.78
01-10-2002,125.734
01-11-2002,126.669
01-12-2002,127.622
01-01-2003,128.461
01-02-2003,129.355
01-03-2003,130.148
01-04-2003,130.884
01-05-2003,131.735
01-06-2003,132.649
01-07-2003,133.776
01-08-2003,134.968
01-09-2003,136.294
01-10-2003,137.532
01-11-2003,138.794
01-12-2003,140.18
01-01-2004,141.646
01-02-2004,143.192
01-03-2004,145.059
01-04-2004,146.592
01-05-2004,148.185
01-06-2004,149.85
01-07-2004,151.338
01-08-2004,152.633
01-09-2004,154.179
01-10-2004,155.751
01-11-2004,157.527
01-12-2004,159.33
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.351
01-06-2005,171.19
01-07-2005,172.86
01-08-2005,174.44
01-09-2005,176.437
01-10-2005,178.027
01-11-2005,179.681
01-12-2005,180.91
01-01-2006,182.32
01-02-2006,183.287
01-03-2006,184.364
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.067
01-08-2006,182.593
01-09-2006,182.799
01-10-2006,183.2
01-11-2006,183.611
01-12-2006,184.141
01-01-2007,184.518
01-02-2007,184.599
01-03-2007,184.15
01-04-2007,183.011
01-05-2007,181.601
01-06-2007,180.254
01-07-2007,179.111
01-08-2007,178.117
01-09-2007,177.558
01-10-2007,176.624
01-11-2007,175.147
01-12-2007,174.341
01-01-2008,173.133
01-02-2008,171.542
01-03-2008,170.054
01-04-2008,168.337
01-05-2008,166.658
01-06-2008,165.017
01-07-2008,163.567
01-08-2008,161.989
01-09-2008,160.309
01-10-2008,158.329
01-11-2008,156.142
01-12-2008,153.618
01-01-2009,151.504
01-02-2009,150.012
01-03-2009,148.659
01-04-2009,147.949
01-05-2009,147.696
01-06-2009,148.09
01-07-2009,148.409
01-08-2009,148.276
01-09-2009,148.023
01-10-2009,147.848
01-11-2009,148.133
01-12-2009,147.929
01-01-2010,147.395
01-02-2010,145.632
01-03-2010,145.86
01-04-2010,146.401
01-05-2010,146.391
01-06-2010,145.717
01-07-2010,144.988
01-08-2010,143.912
01-09-2010,143.015
01-10-2010,142.525
01-11-2010,142.169
01-12-2010,142.061
01-01-2011,141.526
01-02-2011,140.356
01-03-2011,139.987
01-04-2011,140.011
01-05-2011,139.904
01-06-2011,139.86
01-07-2011,139.727
01-08-2011,139.306
01-09-2011,138.667
01-10-2011,137.953
01-11-2011,137.154
01-12-2011,136.676
01-01-2012,136.607
01-02-2012,136.529
01-03-2012,137.903
01-04-2012,139.155
01-05-2012,140.156
01-06-2012,141.029
01-07-2012,141.667
01-08-2012,142.277
01-09-2012,142.906
01-10-2012,143.6
01-11-2012,144.585
01-12-2012,145.502
01-01-2013,146.836
01-02-2013,147.784
01-03-2013,149.965
01-04-2013,151.521
01-05-2013,152.854
01-06-2013,154.195
01-07-2013,155.604
01-08-2013,156.972
01-09-2013,158.233
01-10-2013,159.246
01-11-2013,160.075
01-12-2013,160.999
01-01-2014,161.95
01-02-2014,162.53
01-03-2014,163.092
01-04-2014,163.399
01-05-2014,163.666
01-06-2014,164.046
01-07-2014,164.568
01-08-2014,165.218
01-09-2014,165.909
01-10-2014,166.645
01-11-2014,167.338
01-12-2014,168.061
01-01-2015,168.666
01-02-2015,169.137
01-03-2015,169.808
01-04-2015,170.31
01-05-2015,170.893
01-06-2015,171.451
01-07-2015,172.122
01-08-2015,172.947
01-09-2015,173.839
01-10-2015,174.802
01-11-2015,175.748
01-12-2015,176.561
01-01-2016,177.305
01-02-2016,177.664
01-03-2016,178.185
01-04-2016,178.794
01-05-2016,179.458
01-06-2016,180.079
01-07-2016,180.836
01-08-2016,181.867
01-09-2016,182.834
01-10-2016,183.751
01-11-2016,184.745
01-12-2016,185.702
01-01-2017,186.8
01-02-2017,187.311
01-03-2017,188.02
01-04-2017,188.787
01-05-2017,189.703
01-06-2017,190.571
01-07-2017,191.48
01-08-2017,192.716
01-09-2017,193.776
01-10-2017,194.779
01-11-2017,195.88
01-12-2017,197.067
01-01-2018,198.214
01-02-2018,199.185
01-03-2018,200.018
01-04-2018,200.813
01-05-2018,201.635
01-06-2018,202.431
01-07-2018,202.987
01-08-2018,203.767
01-09-2018,204.347
01-10-2018,205.02
01-11-2018,205.491
01-12-2018,205.906
01-01-2019,206.295
01-02-2019,206.719
01-03-2019,207.163
01-04-2019,207.829
01-05-2019,208.562
01-06-2019,209.086
01-07-2019,209.46
01-08-2019,210.204
01-09-2019,210.882
01-10-2019,211.602
01-11-2019,212.486
01-12-2019,213.491
01-01-2020,214.537
01-02-2020,215.561
01-03-2020,216.539
01-04-2020,217.308
01-05-2020,217.663
01-06-2020,218.33
01-07-2020,219.666
01-08-2020,222.507
01-09-2020,225.756
01-10-2020,229.409
01-11-2020,232.726
01-12-2020,235.776
01-01-2021,238.856
01-02-2021,241.868
01-03-2021,245.702
01-04-2021,249.869
01-05-2021,254.525
01-06-2021,259.522
01-07-2021,263.3
01-08-2021,266.983
01-09-2021,270.212
01-10-2021,273.166
01-11-2021,276.495
01-12-2021,280.275
01-01-2022,284.833
01-02-2022,290.371
01-03-2022,296.362
01-04-2022,301.409
01-05-2022,305.179
01-06-2022,306.181
01-07-2022,306.192
